barcode,product_name,brands,categories,ingredients,energy_kcal,fat_g,saturated_fat_g,carbohydrates_g,sugars_g,fiber_g,protein_g,salt_g,sodium_g,nutriscore_grade,nutriscore_score,nova_group
8901499008169,Chocos,Kellogg's,Breakfast cereals filled with chocolate,"Multigrain Flour Mix (64.8%) (Wheat Flour (Atta) (55.8%), Sorghum (Jowar) Flour (3%), Rice Flour (3 Corn Meal (3%)), Sugar, Cocoa Solids (5.3%), Minerals, Cereal Extract, lodized Salt, Colours (INS 150a, INS 150d), Edible Vegetable Oil (Palmolein), Flavours (Nature Identical & Artificial (Cream)), Vitamins, Antioxidant (INS 307b). ALLERGEN DECLARATION: CONTAINS WHEAT & BARLEY. MAY CONTAIN SOY, MILK, OATS & NUTS.",373,3,1.2,81,27.5,7,9,0.625,0.25,d,13,4 - Ultra processed food and drink products
8901491103794,Oats,"Pepsico, Quaker",Rolled oats,"ROLLED OAT FLAKES ALLERGEN ADVICE: MAY CONTAIN WHEAT, BARLEY.",407,9.5,1.9,68.5,1.8,10,11.8,0.02375,0.0095,a,-3,1 - Unprocessed or minimally processed foods
8901499010513,"Muesli Fruit, Nut & Seeds",Kellogg's,Mueslis with fruits,"multigrain (66.4%) (wheat (24.6%), corn grits (15.7%) rice (10.1%), rolled barley (8 %), rolled oats (8%)), candied & dry fruits, nut & seed (21%) (candied papaya (6%), candied cranberry (4%), Raisins (4%), almonds (4%), pumpkin Seeds (3%), sugar. Cereal Extract, wheat bran, lodized Salt, vitamins, Flavour (Artificial (Coconut)), Minerals and Antioxidants (INS 320, INS 307b)",955,5.1,0.9,80,21.8,6.4,8.1,0.35,0.14,c,7,4 - Ultra processed food and drink products
8901088068734,Saffola Masala Oats - Classic Masala,Saffola,"Rolled oats, Oat","Rolled Oats (73.9 %), Maltodectrin, Salt, Spices and Condiments (34%) (Onions, Tumeric, Pepper, Cumin, Garlic, Fenugreek, Clove, Nutmeg, Red Chili), Dried Vegetables (Carrots (1.15%), Onions Flakes (1.15%), Green Peas(0.69%)), Sugar, Starch, Hydrolysed Vegetable Protein, Wheat Powder, Flavour Enhancers NS 627,631), Anlioxidant (320).  CONTAINS ADDED FLAVOUR-NATURAL AND NATURE IDENTICAL FLAVOURING SUBSTANCES.",365.789474,7.631579,1.842105,70.526316,6.052632,9.736842,8.684211,5.222368,2.088947,e,19,4 - Ultra processed food and drink products
8904043551548,Modern 100% Whole Wheat Bread,Modern,Wholemeal sliced breads,"Whole Wheat Flour (Atta) (57.3%), Sugar, Gluten, Yeast, Edible Vegetable Oil (Refined Sunflower Oil), lodized Salt, Milk Solids, Oat Flour, Soya Flour, Preservatives (282, 200), Malt Product, Flour Treatment Agents (510, 1100(i)), Acidity Regulators (341(1), 260), Emulsifier (471) and Antioxidant (300).",264.444444,2.73,1.33,43.54,3.67,6.4,8.78,0.97425,0.3897,b,2,4 - Ultra processed food and drink products
8904335604150,Yoga Bar Millet Muesli,Yoga Bar,Mueslis,"Whole Grains 58.0% (Millets 26.0% (Ragi 16%, Jowar 10%), Rolled Oats 22%, Brown Rice Flakes), Corn Flakes (Corn Grits, Unrefined Sugar, Iodized Salt, Malt Extract, Soy Lecithin), Nuts & Seeds 9.5% (Flax, Pumpkin, Almond), Rice Crispy, Dehydrated Fruits 4.8% (Raisins, Cranberry), Jaggery Syrup, Honey, Rice Bran Oil, Natural Flavors (Almond, Rosemary Extract), Himalayan Pink Salt.",367.5,6.25,1,73,12.25,9.5,9.25,0.704375,0.28175,b,2,4 - Ultra processed food and drink products
8908005144632,Muesli dark chocolate cranberry,Yoga bar,Mueslis,"Whole Grains 66% {Rolled Oats, Rice Flakes, Quinoa Flakes), Dark Chocolate Paste 12% (Sugar, Edible Vegetable Fat, Cocoa Solids, Soy Lecithi &Natural Flavours), Seeds & Nuts 10.8% (Chia. Flax. Almond, Pumpkin). Dehydrated Fruits 6.5% (Raisins. Cranberry 2.5%). Dates Syrup. Cocoa Powder. Rice Br Oil, Natural Flavours, Jaggery Syrup. Cocoa Mass. Himalayan",437,13.3,4.9,67,6.7,9.4,12.3,0.2265,0.0906,c,6,4 - Ultra processed food and drink products
8901088068741,Masala Oats - Peppy Tomato,Saffola,"Breakfasts, Oat","Rolled Oats (75%), maltodexrin, Spices and Condiments (5.8%) (Onion, Pepper, Garlic, Coriander, Cumin, Fenugreek, Ginger, Turmeric, Cinnamon, Clove), Salt, Sugar, Dried Vegetables (Carrot (0.7% ), French Beans (0.5%), Tomato (0.3 %), Hydrolysed vegetable Protein, Wheat Powder, Flavour Enhancer (627, 631), Antioxidant (320). CONTAINS ADDED FLAVOUR - NATURAL AND NATURE IDENTICAL FLAVOURING SUBSTANCES.",363.157895,7.631579,1.315789,70,7.368421,10,8.684211,4.789474,1.915789,e,19,4 - Ultra processed food and drink products
8901491103800,Oats,Quaker,Rolled oats,Rolled Oats Flakes,407,9.5,1.9,68.5,1.8,10,11.8,0.02375,0.0095,a,-3,1 - Unprocessed or minimally processed foods
8906136651968,High Protein Oats Chocolate,Pintola,"Breakfast cereals, Oat","Oats (43%), Protein Blend (26%) (Texturized Soy Protein, Soy Protein Isolate, Whey Protein Concentrate); Dry Fruit, Nut & Seeds (12%) (Raisins, Almonds, Pumpkin Seeds, Chia Seeds); Organic Jaggery (10%), Cocoa Solids (7%), Jowar Flakes, Himalayan Pink Salt.",392,8,2.1,54.6,14,9.6,25,0.325,0.13,b,2,4 - Ultra processed food and drink products
8901499023339,"Muesli Fruit, Nut & Seeds",Kellogg's,"Seeds, Mueslis with nuts","MULTIGRAIN MIX (66%) {CORN GRITS (18.3%), WHEAT (16.5%), RICE (9.7%), ROLLED BARLEY (8%), ROLLED OATS (8%), RAGI MILLET FLOUR (3.5%), RICE FLOUR, CORN MEAL, REFINED WHEAT FLOUR (MAIDA)}, CANDIED FRUITS, DRY FRUITS, NUT & SEED (21%) {CANDIED PAPAYA (5%), ALMONDS (3.5%), PUMPKIN SEEDS (3.5%), CANDIED CRANBERRY (3%), BLACK CURRANTS (3%), BLACK RAISINS (3%)}, SUGAR, CEREAL EXTRACT, WHEAT BRAN, HONEY, OLIGOFRUCTOSE, IODIZED SALT, COCOA SOLIDS VITAMINS, COLOURS (INS 140, INS 150d), FLAVOURS {NATURE IDENTICAL & ARTIFICIAL (COCONUT)}, ANTIOXIDANT (INS 307b) AND MINERAL.  ALLGEN DECLARATION: CONTAINS WHEAT, BARLEY, OATS, NUT (ALMONDS), SULPHITE MAY CONTAIN OTHER NUTS, SOY AND MILK. SOME CANDIED AND DRY FRUITS CONTAIN SULPHITE TO MAINTAIN COLOUR",382,5.2,0.9,79,21.6,6.5,8.1,0.325,0.13,c,5,4 - Ultra processed food and drink products
8904043552644,Modern Sandwich Supreme Bread,Modern,White breads,,254,2.1,1.37,51,6.72,0,7.9,1.1675,0.467,c,7,
8901088068758,Saffola Masala Veggie Twist Oats,Saffola,Oat,"Bled Oats (73.6%), Maltodextrin, lodised Salt, Dried Vegetables Carot (1.6%). Green Peas (1.15%), French Beans (0.7%), Onion Pader Sugar, Desiccated Coconut Powder, Spice & Condiments 30%) (Chilly. Turmeric, Ginger, Cardamom, Cinnamon, Curry ves Garlic), Milk Solids, Tomato Powder (1.2%), Hydrolysed hrtable Protein, Yeast Extract, Acidity Regulator (INS 330), Rovour Enhancers (INS 631, INS 627), Colour (INS 100), are-identical Flavouring Substances.",376,9.9,3.4,69.2,5.1,12.4,8.8,5.7075,2.283,e,22,4 - Ultra processed food and drink products
8901491702188,Oats,Quaker,Rolled oats,,407.5,9.5,2,68.5,1.75,10,11.75,0.02375,0.0095,a,-3,
8901088213608,Saffola Oats,"Saffola, Marico",Rolled oats,Rolled Oats,369,8,1.6,66.8,0.5,10.4,12.6,0.0125,0.005,a,-5,1 - Unprocessed or minimally processed foods
